symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
BTCUSDT,1d,117574.97,121293.21845472947,135571.1955146091,BUY,11.771455355691325,64.90198514346386,4.336170002555942,11.637539420502966,3,1.1,310,True,310,365,2025-07-31T20:14:01.964187
ETHUSDT,1d,3756.72,3384.407953679955,4021.238786541802,HOLD,18.816609627967694,134.1292326601671,6.494312509692029,3.875112213590124,2,1.3,210,True,210,365,2025-07-31T20:14:10.403650
ADAUSDT,1d,0.7537,0.36892561613298375,0.7860147816701297,HOLD,113.05508408686944,206.02276679386344,4.82549535309393,3.3492550892755455,2,1.2,280,True,280,365,2025-07-31T20:14:18.718684
