symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,3780.09,3401.8742791783247,4048.2542158467854,HOLD,19.000700308789327,20.267524209871873,1.1915605877925441,53.56787983686557,2,1.3,200,True,200,720,2025-07-31T21:02:01.605330
USDCUSDT,1d,1.0,0.9983555564409488,1.0005683360812148,HOLD,0.22164244251360438,-0.09776502852690465,-0.42658821012759157,0.2136632109120401,2,2.8,320,True,320,720,2025-07-31T21:02:10.196230
BTCUSDT,1d,117734.78,110984.83332050176,123573.92271371026,HOLD,11.343071856362354,53.755608766332344,10.204625056925218,1.1802170182885021,2,1.6,130,True,130,720,2025-07-31T21:02:19.847568
SOLUSDT,1d,178.1,98.15330753410711,194.88818611502415,HOLD,98.55488420224944,146.63250474736398,4.566033718585123,21.227517528706432,2,1.5,300,True,300,720,2025-07-31T21:02:31.107561
XRPUSDT,1d,3.0881,2.139904502158559,3.206848423106026,HOLD,49.859417552102066,334.3444644545419,4.580964061653386,7.015745148297346,3,1.2,340,True,340,720,2025-07-31T21:02:39.899973
FDUSDUSDT,1d,0.998,0.9974316436808994,0.9982900398634038,HOLD,0.0860606526715533,0.0,,,1,2.5,80,True,80,720,2025-07-31T21:02:48.646079
ENAUSDT,1d,0.6031,0.451836557394832,0.5435557316314601,SELL,20.299192868646177,181.82981813875818,7.1330709153122385,22.1518629501894,3,1.1,120,True,120,486,2025-07-31T21:02:57.960218
BNBUSDT,1d,801.71,746.2858248371545,808.8219161956981,HOLD,8.379643465985643,55.62192985554933,3.7255453300962267,16.958771639750136,3,1.0,270,True,270,720,2025-07-31T21:03:08.584414
PENGUUSDT,1d,0.035871,0.03057821293696724,0.04735564709273573,HOLD,54.8672814541283,481.37907634440495,8.073102225815717,37.51249722283937,2,2.1,100,True,100,227,2025-07-31T21:03:17.880945
SUIUSDT,1d,3.732,3.640664572183843,5.127241148696884,HOLD,40.83256084262994,241.2762783028475,4.2593057448596285,22.22646672839752,3,1.2,300,True,300,720,2025-07-31T21:03:26.570515
DOGEUSDT,1d,0.2159,0.19658105053614203,0.24999765360022377,HOLD,27.172813919956614,108.73497081551633,6.510889649501407,4.808447122560674,3,1.1,150,True,150,720,2025-07-31T21:03:36.579214
TRXUSDT,1d,0.3284,0.27311007645103985,0.3534996506410339,HOLD,29.434862028756157,72.79043346599526,2.918477658224496,2.0300088261253366,3,1.8,350,True,350,720,2025-07-31T21:03:44.948357
PEPEUSDT,1d,1.114e-05,9.71909185038173e-06,1.3303810599839787e-05,HOLD,36.883268567085956,112.64617821227812,5.500957676808966,5.160685817181805,2,1.1,130,True,130,720,2025-07-31T21:03:53.844048
ADAUSDT,1d,0.7574,0.522461902760291,0.9145304752465819,HOLD,75.04251896930647,170.21743839441257,4.197512850938511,5.881370091896384,1,1.0,290,True,290,720,2025-07-31T21:04:05.074973
BONKUSDT,1d,2.76e-05,2.916941337609983e-05,3.8537704371823435e-05,HOLD,32.11683030759741,385.18588193972215,8.131615096636194,14.23324150596878,3,1.3,150,True,150,595,2025-07-31T21:04:13.265896
HBARUSDT,1d,0.25809,0.26436939749057625,0.3047816496466184,HOLD,15.28628220196428,124.20408156573247,7.2569986120265675,7.428769177529125,3,1.0,130,True,130,720,2025-07-31T21:04:22.301540
CFXUSDT,1d,0.2079,0.1346137285130342,0.16420363922552164,SELL,21.981346954239044,228.06123710134608,7.434289878611475,9.790732436472343,3,1.2,120,True,120,720,2025-07-31T21:04:31.353064
UNIUSDT,1d,9.608,9.869970201752425,10.88685765046088,HOLD,10.302842135510259,103.9226906299396,6.081169573252263,15.03669568185697,2,1.0,150,True,150,720,2025-07-31T21:04:40.788912
LINKUSDT,1d,17.39,15.390918266574573,19.645331100767166,HOLD,27.642358698195213,96.51571485530887,4.547244122308847,22.9683377308707,3,1.2,210,True,210,720,2025-07-31T21:04:49.806776
TONUSDT,1d,3.576,2.875326747529188,3.410250874511547,HOLD,18.60394222820163,71.35998471942487,6.000016993895412,7.315724815724822,2,1.4,140,True,140,358,2025-07-31T21:04:57.949168
CRVUSDT,1d,0.973,0.7505101336894353,1.0784767376903797,HOLD,43.699157316996136,154.03858159844611,4.307680172171517,27.41965585457803,2,1.3,220,True,220,720,2025-07-31T21:05:07.898167
AVAXUSDT,1d,22.99,19.35673240897174,25.59542593945086,HOLD,32.23009647840932,98.40051498737267,6.650822988103035,10.520646319569108,3,1.4,160,True,160,720,2025-07-31T21:05:16.521640
LTCUSDT,1d,109.01,70.20138646074012,121.82945843315606,HOLD,73.54280958722768,0.0,,,3,1.9,350,True,350,720,2025-07-31T21:05:25.549749
SUSDT,1d,0.3246,0.19775213466950142,0.3861584050867661,HOLD,95.27395025704462,114.69613538880633,3.9123167176782303,24.73915989159893,2,1.3,270,True,197,197,2025-07-31T21:05:33.812493
BCHUSDT,1d,568.8,496.29752277878623,587.3017259846846,HOLD,18.336622495386,104.54104858794675,8.156582906505237,6.815941416701858,3,2.5,150,True,150,720,2025-07-31T21:05:43.268838
XLMUSDT,1d,0.4096,0.32556462755719595,0.49764549374470923,HOLD,52.856131047984235,97.30146346233299,4.059996055858584,0.219538968166848,2,2.2,200,True,200,720,2025-07-31T21:05:51.733939
