symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,4687.67,3371.9240450249645,4259.6509405309525,HOLD,3.118174894306163,63.38314640756426,4.802083796354742,-6.858017910190306,3,1.8,180,True,180,720,2025-08-13T15:55:07.449846
USDCUSDT,1d,0.9999,0.9499682414278248,0.9999665699240261,HOLD,0.014659631136210835,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-13T15:55:08.141756
BTCUSDT,1d,121988.0,114365.45377173359,137638.76724745453,HOLD,4.1465889733422525,49.993834380907764,5.367140248558796,-5.40814624056194,2,2.0,200,True,200,720,2025-08-13T15:55:09.395007
SOLUSDT,1d,202.81,146.08047441833943,198.99377758119593,HOLD,6.751736825241375,0.0,0.0,0.0,2,2.0,150,True,150,720,2025-08-13T15:55:10.089587
FDUSDUSDT,1d,0.9984,0.9482014791760097,0.9981068201852734,SELL,5.005061395366507,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-13T15:55:10.778916
XRPUSDT,1d,3.2991,2.6286410762109416,3.5158295534920283,HOLD,9.12557354203612,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-13T15:55:12.327957
DOGEUSDT,1d,0.2449,0.16618707620520035,0.24874568432285243,HOLD,5.706186659266369,54.93207771873194,5.902613166413766,-0.9038530788620713,1,1.5,100,True,100,720,2025-08-13T15:55:14.150877
BNBUSDT,1d,853.36,715.1082641213859,817.1521828093069,SELL,12.727178363353172,24.683380524960352,8.052908090818038,-0.2348444969038077,1,1.5,100,True,100,720,2025-08-13T15:55:14.832028
LINKUSDT,1d,23.74,14.04443264820305,19.43047582427686,SELL,32.113144585252066,51.149840770599255,7.172993643300719,-1.0266329415265618,1,1.5,100,True,100,720,2025-08-13T15:55:15.795261
SUIUSDT,1d,4.0298,2.815856405627452,4.102562754108519,HOLD,6.0641870245222,39.84387390596862,3.920525013677567,-14.459158409700946,1,1.5,100,True,100,720,2025-08-13T15:55:17.635214
PEPEUSDT,1d,1.225e-05,9.021632595830323e-06,1.353239492892215e-05,HOLD,12.601056156782741,71.20367525274862,3.2698326191881315,-32.799433026222545,1,1.5,100,True,100,720,2025-08-13T15:55:19.452290
ADAUSDT,1d,0.8801,0.5942349120929408,0.8531353420324713,HOLD,4.084052171933639,48.507614625328884,5.925668260755608,-2.4752701933099863,1,1.5,100,True,100,720,2025-08-13T15:55:20.136576
ENAUSDT,1d,0.7873,0.3613001808802592,0.6749881055883877,SELL,53.98387833304559,161.2637910359703,7.396901229010556,-8.097910216718274,1,1.5,100,True,100,499,2025-08-13T15:55:20.808432
UNIUSDT,1d,12.086,9.257643895382468,11.360092388445914,HOLD,0.25498083562122886,56.024925264952174,7.004878613885643,-1.2884733121834357,1,1.5,100,True,100,720,2025-08-13T15:55:22.640029
TRXUSDT,1d,0.3583,0.3125088650209939,0.34257404653016127,SELL,9.637732760526859,27.15371029811915,9.140734930480999,-1.2971475347899997,1,1.5,100,True,100,720,2025-08-13T15:55:24.461282
