symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,4773.24,3895.044323912515,4412.894567633098,SELL,13.776283016168362,193.1734302339968,7.958341938831119,-1.016481087898713,3,1.0,150,True,150,720,2025-08-14T09:03:05.443608
USDCUSDT,1d,0.9995,0.9499859599739132,0.9999852210251718,HOLD,0.024528479921956833,0.0,0.0,0.0,3,1.4,80,True,80,720,2025-08-14T09:03:07.872508
BTCUSDT,1d,121929.61,112879.3092773481,125236.6586189731,HOLD,3.784396813648739,55.909419295059834,6.5731462789617305,-4.248326181311524,4,1.7000000000000002,190,True,190,720,2025-08-14T09:03:09.976268
SOLUSDT,1d,207.99,176.50895761400855,203.98986021862387,HOLD,6.3799099994909545,125.63809636866327,8.332423988957832,-2.8196590113329534,3,1.2,140,True,140,720,2025-08-14T09:03:12.310791
FDUSDUSDT,1d,0.9977,0.9483513247987236,0.9982645524197091,HOLD,0.022499340678650236,0.0,0.0,0.0,3,1.1,50,True,50,720,2025-08-14T09:03:14.400528
XRPUSDT,1d,3.2711,2.872816959586561,3.3078582259338067,HOLD,2.5399955961030294,57.14529407416104,9.473761638513622,-0.7735384088625841,2,1.1,50,True,50,720,2025-08-14T09:03:16.786119
DOGEUSDT,1d,0.24794,0.22236913355683183,0.2702598166577557,HOLD,6.133755358027922,134.37692450136947,7.846416175350092,-6.272061734947465,3,1.1,100,True,100,720,2025-08-14T09:03:19.192062
ADAUSDT,1d,1.0161,0.6994225516052148,0.8476179669468227,SELL,19.339589491049114,72.5394945827708,11.803096834441556,-0.1996007984031989,2,1.5,50,True,50,720,2025-08-14T09:03:21.521257
BNBUSDT,1d,863.06,810.7518710873236,870.0348919902948,HOLD,2.456552680279155,36.96753288983685,7.117795737831006,-6.547876965704258,3,1.3,0,True,100,720,2025-08-14T09:03:23.520416
SUIUSDT,1d,4.0432,3.8089337366105243,4.156113536447921,HOLD,2.1378024271859615,73.52690820624686,12.613321205718723,-2.1442406173628137,4,1.5,50,True,50,720,2025-08-14T09:03:25.574386
