symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,4746.71,3426.6091881911275,4321.177366252477,HOLD,1.272388487821728,68.76387974040807,4.978698170256347,-6.858017910190306,3,1.8,180,True,180,720,2025-08-14T09:24:55.037954
USDCUSDT,1d,0.9996,0.9499671977756059,0.999965471342743,HOLD,0.020552066770331757,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:24:55.720535
BTCUSDT,1d,121609.84,114523.26508439374,137754.27101241384,HOLD,5.043532895761878,51.61958213006699,5.48086485785836,-5.40814624056194,2,2.0,200,True,200,720,2025-08-14T09:24:56.417855
SOLUSDT,1d,206.1,147.032048000305,200.2581841502705,HOLD,4.640127992909587,0.0,0.0,0.0,2,2.0,150,True,150,720,2025-08-14T09:24:57.492782
FDUSDUSDT,1d,0.9978,0.9482045764943619,0.998110080520381,HOLD,0.005017786543986626,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:24:58.195044
XRPUSDT,1d,3.2491,2.6456944467552335,3.534299090538495,HOLD,9.70905319658094,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:24:58.902414
DOGEUSDT,1d,0.24561,0.1666398214676238,0.24927305417594053,HOLD,5.430290980121538,53.92658920378457,5.796416085796053,-0.9038530788620824,1,1.5,100,True,100,720,2025-08-14T09:24:59.588844
ADAUSDT,1d,0.997,0.5971817150729036,0.86016207106571,SELL,30.82570194915977,48.50761462532886,5.925668260755601,-2.4752701933100085,1,1.5,100,True,100,720,2025-08-14T09:25:00.564854
BNBUSDT,1d,856.37,717.7014563556168,821.5542838424028,SELL,13.51243910145466,24.72742700039663,8.069339353223851,-0.19960079840317668,1,1.5,100,True,100,720,2025-08-14T09:25:01.237236
SUIUSDT,1d,4.0111,2.8195110000874486,4.1186681530478655,HOLD,5.994980416701806,40.48452371093598,3.9730466352670177,-14.459158409700946,1,1.5,100,True,100,720,2025-08-14T09:25:01.927519
