symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,3904.3,3752.8678755443684,4314.962365443657,HOLD,0.35351781872547244,150.93005548326235,6.594222257306313,-0.5709360726598001,4,1.3,170,True,170,720,2025-08-08T14:22:58.889157
USDCUSDT,1d,0.9995,0.9500517322715377,1.0000544550226713,HOLD,0.03345486963063418,0.0,0.0,0.0,1,2.1,100,True,100,720,2025-08-08T14:23:01.559876
BTCUSDT,1d,116599.47,107410.08046117306,121818.566267961,HOLD,5.334090748108768,51.494889785939854,6.969498541746232,-4.248326181311501,3,1.8,160,True,160,720,2025-08-08T14:23:04.257935
XRPUSDT,1d,3.3143,2.551746506358002,3.380845562288862,HOLD,7.954222326529734,54.0561128052742,6.303955174399913,-0.19960079840318778,1,1.4,100,True,100,720,2025-08-08T14:23:06.804337
SOLUSDT,1d,176.59,175.7239372082186,211.44407380107359,BUY,23.842700895577735,109.3712714018408,7.949532785152673,-2.7761904129068427,4,1.5,140,True,140,720,2025-08-08T14:23:09.379905
FDUSDUSDT,1d,0.9979,0.9484447756586538,0.9983629217459514,HOLD,0.02834660006726392,0.0,0.0,0.0,4,2.6,0,True,100,720,2025-08-08T14:23:11.977402
DOGEUSDT,1d,0.2222,0.18636899730076092,0.21238191516371355,HOLD,0.18770999873270688,57.42853168127895,3.738157563274762,-23.569304386652178,4,1.0,0,True,100,720,2025-08-08T14:23:14.581777
SUIUSDT,1d,3.8209,3.442619519491565,3.992012812635136,HOLD,4.948326831346365,40.925349906144135,7.867067496484636,-1.1531008415444854,2,1.2,50,True,50,720,2025-08-08T14:23:17.214919
TRXUSDT,1d,0.3386,0.32144160423010454,0.34322291982347747,HOLD,2.0949847770472636,37.1963096833936,10.466596525998305,-1.2971475347899886,2,1.4,0,True,100,720,2025-08-08T14:23:19.830521
LINKUSDT,1d,19.37,16.19425134276193,18.415486401818264,HOLD,4.621556651620651,46.25157508663962,7.194959601132836,-3.447785091620703,3,1.2,70,True,70,720,2025-08-08T14:23:22.504779
ENAUSDT,1d,0.6185,0.6149282118613438,0.698926076661981,BUY,14.92092417737859,165.15378882585412,5.917346323476726,-26.119618607338914,4,1.3,100,True,100,494,2025-08-08T14:23:25.043368
BNBUSDT,1d,785.8,709.9745322219164,802.0337001854912,HOLD,3.6814012412147594,22.926676383135415,8.975487377698826,-0.19960079840317668,1,1.3,80,True,80,720,2025-08-08T14:23:27.627892
ADAUSDT,1d,0.7924,0.6784847092905194,0.7842215909349589,HOLD,3.1381965036244512,49.883270735818705,4.4146775665684075,-19.802512587378395,4,1.3,0,True,100,720,2025-08-08T14:23:30.240525
PEPEUSDT,1d,1.112e-05,9.036841201244156e-06,1.3360283324090738e-05,HOLD,15.936360918659018,122.80114295555391,5.492324070991872,-7.35395189003436,2,1.3,100,True,100,720,2025-08-08T14:23:35.107024
LTCUSDT,1d,122.14,112.01328206168836,119.16456046694012,SELL,7.540131028421136,65.71419486198336,7.681506856235451,-0.7403893204861123,4,1.1,0,True,100,720,2025-08-08T14:23:37.926366
XLMUSDT,1d,0.4605,0.4144484017406628,0.5234662257932705,HOLD,1.775512693590857,93.81905667337638,6.406261973536226,-0.2195389681668547,2,1.0,60,True,60,720,2025-08-08T14:23:40.861771
PENGUUSDT,1d,0.036876,0.023727202558733194,0.0432949710513604,HOLD,20.610227852666814,326.0256324843333,7.698499957371254,-4.848897696309162,1,1.5,90,True,90,235,2025-08-08T14:23:43.908582
BIOUSDT,1d,0.0949,0.06606877777754733,0.08664433210591407,HOLD,9.643356431144234,132.84722648118012,5.52052406193041,-4.044137805853398,3,1.3,100,True,100,218,2025-08-08T14:23:46.639093
PENDLEUSDT,1d,5.331,3.585502464971511,4.594147689910646,HOLD,9.718850064736497,80.17483300804977,7.68987983746414,-3.528943024645692,1,1.4,0,True,100,720,2025-08-08T14:23:51.803648
BONKUSDT,1d,2.588e-05,2.3822185265527627e-05,3.2465463693748446e-05,HOLD,6.388772141120603,128.49674413214004,9.218639798907283,-0.19960079840318778,2,1.2,50,True,50,603,2025-08-08T14:23:54.606416
UNIUSDT,1d,10.576,9.100694938531936,10.451043753717753,HOLD,4.011183854675093,114.48788707379767,7.290646198951954,-0.3009231892632247,4,1.3,0,True,100,720,2025-08-08T14:23:57.118251
AVAXUSDT,1d,23.35,23.91182584330209,28.227458150870085,BUY,23.83722975726103,65.24825482635354,6.729192376580786,-1.8731131148632008,3,1.2,0,True,100,720,2025-08-08T14:24:00.040394
HBARUSDT,1d,0.26111,0.21606929549463813,0.2593038624817421,HOLD,3.249077215359359,70.41828684507843,7.23607490458359,-0.1996007984031989,3,1.8,60,True,60,720,2025-08-08T14:24:02.713537
ASRUSDT,1d,7.393,4.247164400085697,5.323018357135976,HOLD,6.716486710825495,197.88108782435128,5.518446855154855,-9.191055573824404,2,1.0,80,True,80,720,2025-08-08T14:24:05.443359
APTUSDT,1d,4.642,3.732360598932557,4.271485789591649,SELL,15.030719871316375,55.732476576827295,6.508266781690128,-2.7554694609367436,4,1.3,0,True,100,720,2025-08-08T14:24:07.948966
CRVUSDT,1d,0.9195,0.6528174849237837,1.064521024335476,HOLD,15.078377619938143,98.61584576725986,6.269081599538967,-3.2410946338480295,1,1.4,80,True,80,720,2025-08-08T14:24:10.539759
CFXUSDT,1d,0.2124,0.1226404519035792,0.19866239872727132,SELL,42.85160675508891,178.51011345668272,5.341521204566744,-2.8314368880656304,1,1.1,90,True,90,720,2025-08-08T14:24:13.077275
MAGICUSDT,1d,0.2801,0.1723630186845275,0.2080289083408288,SELL,17.482277535174507,119.67060889671015,4.832858584691553,-19.183511692429654,2,1.2,100,True,100,720,2025-08-08T14:24:15.612769
BCHUSDT,1d,579.3,552.3458307948907,583.5481676746307,HOLD,2.058163572463311,60.494519886446966,7.640220017390355,-2.323830016137718,3,1.1,100,True,100,720,2025-08-08T14:24:18.126158
