symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,3967.95,3262.1750218953944,4142.951205067418,HOLD,9.633439600271695,49.46353155851475,4.23689450697975,-6.858017910190306,3,1.8,180,True,180,720,2025-08-08T16:15:02.043953
USDCUSDT,1d,0.9995,0.9499492248332766,0.9999465524560807,HOLD,0.022661590853510955,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-08T16:15:02.991595
BTCUSDT,1d,116769.82,114341.70045274729,137506.42856698972,HOLD,1.1601242574003714,36.59416920838672,5.414160266636279,-0.32732919789268955,2,2.0,200,True,200,720,2025-08-08T16:15:04.575213
XRPUSDT,1d,3.3359,2.5222694011478626,3.4106631348257355,HOLD,8.756309982134775,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-08T16:15:05.483226
SOLUSDT,1d,177.53,143.91110794207975,196.63442323719335,HOLD,15.042020568903922,0.0,0.0,0.0,2,2.0,150,True,150,720,2025-08-08T16:15:06.383736
FDUSDUSDT,1d,0.998,0.9481815695234816,0.9980858626562965,SELL,5.0013456043000035,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-08T16:15:07.272399
DOGEUSDT,1d,0.22595,0.16308506132315323,0.2449242322081999,HOLD,15.131681916477815,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-08T16:15:08.169155
SUIUSDT,1d,3.8286,2.754991993982693,4.0157067301097165,HOLD,10.827645185150782,45.734815171283614,5.439337990588854,-3.1977063695397656,1,1.5,100,True,100,720,2025-08-08T16:15:09.070567
TRXUSDT,1d,0.3388,0.3067637870617692,0.33497589742667955,SELL,8.76099367623305,23.6167605726163,8.271839276986801,-1.2971475347899886,1,1.5,100,True,100,720,2025-08-08T16:15:09.966223
ENAUSDT,1d,0.6377,0.3205717308796765,0.5936806935427656,SELL,47.62070996377953,129.0703659858786,7.189297577349544,-1.0117959857635972,1,1.5,100,True,100,494,2025-08-08T16:15:10.808049
BNBUSDT,1d,792.09,702.3001882931884,800.7171557992207,HOLD,3.3431450385796735,22.926676383135415,7.789852020681603,-0.19960079840317668,1,1.5,100,True,100,720,2025-08-08T16:15:11.708925
LINKUSDT,1d,19.85,13.706205140334376,18.75717063524317,HOLD,5.9846911246647645,48.49892966992102,6.875295652841306,-1.0266329415265618,1,1.5,100,True,100,720,2025-08-08T16:15:12.630439
