symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,3947.12,3497.67343492511,4162.146688490459,HOLD,7.340164479275957,140.91854161364665,6.660754352628038,-1.016481087898713,2,1.3,160,True,160,720,2025-08-08T16:16:45.212817
USDCUSDT,1d,0.9995,0.9498808865411025,0.9998746174116868,HOLD,0.015466071668754735,0.0,0.0,0.0,1,1.1,100,True,100,720,2025-08-08T16:16:48.187030
BTCUSDT,1d,116668.75,109085.50834749507,124858.38154015293,HOLD,5.68723073953484,45.4061196696224,5.129920715874424,-5.40814624056194,4,2.1,190,True,190,720,2025-08-08T16:16:51.241382
XRPUSDT,1d,3.3226,2.815986815779361,3.110502679886732,SELL,10.129992475286874,53.67118858124458,5.058026828696195,-13.099271286116087,4,1.0,0,True,100,720,2025-08-08T16:16:54.010013
SOLUSDT,1d,176.99,175.73870785105504,211.45555953296815,BUY,23.79142441748325,109.46937433099544,7.952131840443483,-2.7761904129068427,4,1.5,140,True,140,720,2025-08-08T16:16:56.947243
FDUSDUSDT,1d,0.9981,0.9481670114600464,0.9980705383789963,SELL,5.004707704479768,0.0,0.0,0.0,1,1.4,0,True,100,720,2025-08-08T16:17:00.747701
DOGEUSDT,1d,0.22488,0.1838804986178461,0.21510867407559947,HOLD,1.2180849217012444,54.037946977546845,3.560620418741557,-23.569304386652178,4,1.2,0,True,100,720,2025-08-08T16:17:03.861951
SUIUSDT,1d,3.8134,3.5734907985257465,4.30700670718188,HOLD,1.2940552952002753,60.65725922916418,5.655997553279964,-5.86750788643532,2,1.1,100,True,100,720,2025-08-08T16:17:07.009912
TRXUSDT,1d,0.3388,0.3086237786287684,0.3372383787786391,HOLD,0.30289060098719284,23.735517436896835,9.631440486056855,-1.2971475347899775,1,1.5,80,True,80,720,2025-08-08T16:17:09.978624
ENAUSDT,1d,0.6301,0.5390564902477126,0.6634432491232827,HOLD,8.672112878506592,174.08096150248497,6.577506855275922,-14.557865342848263,2,1.0,100,True,100,494,2025-08-08T16:17:12.858971
BNBUSDT,1d,790.48,766.3453661483028,809.1507764825195,HOLD,1.0518680440465717,30.612212697858652,6.0807891627567745,-6.547876965704269,4,1.3,0,True,100,720,2025-08-08T16:17:15.800796
LINKUSDT,1d,19.68,13.536968361279339,18.923727810337805,HOLD,7.131611245118928,48.49892966992102,6.875295652841306,-1.0266329415265618,1,1.6,0,True,100,720,2025-08-08T16:17:18.718663
ADAUSDT,1d,0.7944,0.6785698836552474,0.7843142227112609,HOLD,3.0961436867423306,49.96211931845633,4.4191105519492,-19.802512587378395,4,1.3,100,True,100,720,2025-08-08T16:17:21.593337
PEPEUSDT,1d,1.131e-05,9.040256074414936e-06,1.3363441986155815e-05,HOLD,16.200815031378053,122.80114295555391,5.492324070991872,-7.35395189003436,2,1.3,100,True,100,720,2025-08-08T16:17:27.524951
