symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,4771.2,3426.6091881911275,4321.177366252477,HOLD,1.272388487821728,68.76387974040807,4.978698170256347,-6.858017910190306,3,1.8,180,True,180,720,2025-08-14T09:01:35.976851
USDCUSDT,1d,0.9995,0.9499663753958635,0.9999646056798563,HOLD,0.022466409252032648,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:01:36.927999
BTCUSDT,1d,121871.25,114526.06716135646,137756.08144865042,HOLD,5.082355788347273,51.68530829842215,5.485026844950347,-5.40814624056194,2,2.0,200,True,200,720,2025-08-14T09:01:37.602862
SOLUSDT,1d,207.68,147.044849875554,200.28230878600078,HOLD,4.480217839891059,0.0,0.0,0.0,2,2.0,150,True,150,720,2025-08-14T09:01:38.572864
FDUSDUSDT,1d,0.9977,0.9482034909653463,0.9981089378582593,HOLD,0.006907324181329769,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:01:39.243279
XRPUSDT,1d,3.2691,2.6458250402009957,3.5344837446174866,HOLD,9.578726674070728,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:01:40.201124
DOGEUSDT,1d,0.24791,0.16665075972137997,0.24929836938753094,HOLD,5.236253086836708,53.92658920378457,5.796416085796053,-0.9038530788620824,1,1.5,100,True,100,720,2025-08-14T09:01:40.869309
ADAUSDT,1d,1.0167,0.5923318546785471,0.8533719756244839,HOLD,3.5042664011842457,48.50761462532886,5.959454596712279,-2.4752701933100085,1,1.5,100,True,100,720,2025-08-14T09:01:41.543503
BNBUSDT,1d,863.31,717.7195553035677,821.6455757855412,SELL,13.654681636201268,24.72742700039663,8.069339353223851,-0.19960079840317668,1,1.5,100,True,100,720,2025-08-14T09:01:42.494135
SUIUSDT,1d,4.0407,2.8196582733242326,4.118987446147715,HOLD,5.841944428254277,40.69855569995442,3.9900486700419044,-14.459158409700946,1,1.5,100,True,100,720,2025-08-14T09:01:43.167407
PEPEUSDT,1d,1.216e-05,9.050714152855226e-06,1.330786525308536e-05,HOLD,11.17681915693702,63.90065928748565,2.925954409175659,-32.79943302622254,1,1.5,100,True,100,720,2025-08-14T09:01:44.402747
ENAUSDT,1d,0.7371,0.3687983488329337,0.692317824764426,SELL,52.905331524334855,161.26379103597026,7.396901229010556,-8.097910216718274,1,1.5,100,True,100,500,2025-08-14T09:01:45.056077
LINKUSDT,1d,23.86,14.139670021515546,19.742033750902532,SELL,34.87624345285766,58.16038277781457,5.195918598726724,-14.200000000000001,1,1.5,100,True,100,720,2025-08-14T09:01:46.018739
TRXUSDT,1d,0.3672,0.3135988545971682,0.34458212098038943,SELL,11.161797564541585,27.433136679759706,9.124545120833597,-1.2971475347899997,1,1.5,100,True,100,720,2025-08-14T09:01:46.690087
ARBUSDT,1d,0.5456,0.33603948736638123,0.47808854765045417,SELL,29.977185378957866,53.370390210415785,5.650585853555558,-5.765632687423617,1,1.5,100,True,100,720,2025-08-14T09:01:47.366326
UNIUSDT,1d,11.663,9.319658468389099,11.458885888046547,SELL,18.795670671362245,56.024925264952174,7.004878613885635,-1.288473312183469,1,1.5,100,True,100,720,2025-08-14T09:01:48.040480
BONKUSDT,1d,2.704e-05,1.990810879654213e-05,3.580461866220374e-05,HOLD,24.95435465718438,143.1817515702787,6.538469861492928,-0.25941524203616506,1,1.5,100,True,100,609,2025-08-14T09:01:48.992632
TRUMPUSDT,1d,9.77,6.778673760223926,9.822554622614357,HOLD,5.211596214806751,28.954516924879293,2.77200489286925,-17.865168539325836,1,1.5,100,True,100,208,2025-08-14T09:01:49.628481
PENGUUSDT,1d,0.037295,0.02577987445768301,0.045204909192482004,HOLD,19.723366277913446,340.76579180919504,7.406571951389742,-4.84889769630914,1,1.5,100,True,100,241,2025-08-14T09:01:50.267803
LTCUSDT,1d,131.36,94.19054927949944,123.73838610003847,SELL,26.012482302876975,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:01:51.228123
AVAXUSDT,1d,25.62,18.18893007522771,25.43768735051485,HOLD,3.929103409523004,36.97208347660228,4.289316431815349,-12.844551282051297,1,1.5,100,True,100,720,2025-08-14T09:01:52.181846
SEIUSDT,1d,0.352,0.274039954593565,0.383869344416336,HOLD,15.567601281411372,88.03812519160941,5.067408053293398,-9.78351373855122,1,1.5,100,True,100,720,2025-08-14T09:01:53.133159
BCHUSDT,1d,613.2,551.3612151147136,600.207392146013,HOLD,0.12801817463183876,40.114289258304936,6.513273546728678,-2.683522705239083,1,1.5,100,True,100,720,2025-08-14T09:01:53.803237
HBARUSDT,1d,0.27052,0.187218318917764,0.2918109167918068,HOLD,11.941337258348046,82.36826995013988,5.454368395206411,-11.379982129517064,1,1.5,100,True,100,720,2025-08-14T09:01:54.755524
AAVEUSDT,1d,333.41,276.9735414077289,334.34017872695125,HOLD,5.323897028399462,19.515235328108503,3.879426042703431,-2.813954319027445,1,1.5,100,True,100,720,2025-08-14T09:01:55.431105
WIFUSDT,1d,1.033,0.7947141772093933,1.1632895455628833,HOLD,16.984065322092054,196.7372544485106,6.576391280241899,-8.738755278134757,1,1.5,100,True,100,528,2025-08-14T09:01:56.093218
SKLUSDT,1d,0.03936,0.01606536425784663,0.023094585371783036,SELL,30.919486335368795,34.85831401640165,3.908477447458271,-7.923378319547226,1,1.5,100,True,100,720,2025-08-14T09:01:56.768890
OPUSDT,1d,0.837,0.5306721455378262,0.7897146399407214,SELL,34.241369821830716,49.90612091625985,4.4783456838700415,-15.445696721311464,1,1.5,100,True,100,720,2025-08-14T09:01:57.742152
WLDUSDT,1d,1.117,0.7965406798685115,1.1838454389433706,HOLD,10.371568053642605,103.7308960563422,6.008379328813634,-11.70347003154576,1,1.5,100,True,100,720,2025-08-14T09:01:58.696939
XLMUSDT,1d,0.4559,0.3270156707016471,0.5029585834237654,HOLD,12.659838595055437,95.29781393989197,4.791155243055898,-1.2131004461911177,1,1.5,100,True,100,720,2025-08-14T09:01:59.657075
APTUSDT,1d,5.019,3.991509389325682,4.963269343347585,HOLD,2.9168776872970157,44.35241630310396,4.5848524235028565,-8.986278926889213,1,1.5,100,True,100,720,2025-08-14T09:02:00.326028
ETHFIUSDT,1d,1.311,0.8930766223751903,1.3269179904194233,HOLD,4.6300260542046425,76.90998954472012,2.8786294424713192,-31.994645247657296,1,1.5,100,True,100,515,2025-08-14T09:02:01.258930
RAYUSDT,1d,4.037,1.9779308981106345,3.3227996497441508,SELL,44.05038192717146,67.38397763311734,5.054269885539762,-17.678200037814317,1,1.5,100,True,100,720,2025-08-14T09:02:02.216497
LDOUSDT,1d,1.447,0.766486854816148,1.2048303438370511,SELL,46.84557178806186,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:02:02.898904
NEARUSDT,1d,2.979,2.0480632698038006,2.927458783001481,HOLD,3.678239941970577,33.209934810182574,3.784101047437466,-17.117483560436575,1,1.5,100,True,100,720,2025-08-14T09:02:04.176835
CRVUSDT,1d,1.0213,0.6508678523615158,1.0779256710708276,HOLD,9.269896102387042,87.15084877863322,4.760202088710696,-12.863795110593724,1,1.5,100,True,100,720,2025-08-14T09:02:05.137318
DOTUSDT,1d,4.294,3.0115094753840173,4.201326742437766,HOLD,1.8404698317197221,29.217519070966034,5.241218217027065,-2.6823431105478135,1,1.5,100,True,100,720,2025-08-14T09:02:06.094135
TONUSDT,1d,3.633,2.9139720296278386,3.4851118119563185,HOLD,0.2679041359203069,22.216930096408593,5.614446831848538,-3.3398410263561717,1,1.5,100,True,100,372,2025-08-14T09:02:07.023682
GTCUSDT,1d,0.443,0.2170981487648845,0.31544433732045896,HOLD,4.451767324655287,43.48963942618364,5.931428978211217,-2.2959183673469385,1,1.5,100,True,100,720,2025-08-14T09:02:07.995304
EIGENUSDT,1d,1.597,1.0570279899242387,1.4612142188299715,SELL,28.608132518962666,33.57809204286466,2.2361818632497994,-27.937302423603793,1,1.5,100,True,100,318,2025-08-14T09:02:08.918678
TAOUSDT,1d,390.3,306.3298299986077,414.7239614205341,HOLD,7.916721681117385,27.812700768472574,4.110047752888636,-3.8217738353284125,1,1.5,100,True,100,491,2025-08-14T09:02:09.568931
ZKUSDT,1d,0.07,0.03952619700875486,0.06132092827177321,SELL,37.261996430661156,40.570105309095126,3.687581037546076,-16.251877980273054,1,1.5,100,True,100,424,2025-08-14T09:02:10.217294
PENDLEUSDT,1d,5.442,3.6852487774150946,5.01886169783243,SELL,33.524860611582405,48.69544750238259,3.8464704609283213,-15.071230020847793,1,1.5,100,True,100,720,2025-08-14T09:02:11.178485
EURUSDT,1d,1.1695,1.1346700658397506,1.1943895429892113,HOLD,2.189385950480104,0.0,0.0,0.0,1,1.5,100,True,100,720,2025-08-14T09:02:12.132529
