symbol,interval,current_price,lower_band,upper_band,signal,potential_return,total_return,sharpe_ratio,max_drawdown,degree,kstd,lookback,use_lookback,data_points,total_available,analysis_date
ETHUSDT,1d,4693.84,3786.3648137795644,4471.1400805869525,HOLD,1.5301962958637496,146.020421008732,7.387893422890704,-12.60157539151281,4,1.9,110,True,110,720,2025-08-13T12:41:08.020053
USDCUSDT,1d,0.9998,0.9498805386951805,0.9998742512580848,HOLD,0.007426611130695128,0.0,0.0,0.0,4,2.2,50,True,50,720,2025-08-13T12:41:10.385693
BTCUSDT,1d,120383.18,109787.82547662649,128967.3975439494,HOLD,7.735046010671047,49.590335396554906,6.0517283606812615,-5.408146240561951,2,2.4000000000000004,160,True,160,720,2025-08-13T12:41:13.083700
SOLUSDT,1d,201.15,174.1366100305049,200.384712050471,HOLD,6.416405108393934,118.95447558300853,8.156217110249145,-2.8196590113329534,3,1.1,140,True,140,720,2025-08-13T12:41:15.763639
FDUSDUSDT,1d,0.9987,0.9482855553168452,0.9981953213861529,SELL,5.002348648910549,0.0,0.0,0.0,3,1.5,0,True,100,720,2025-08-13T12:41:18.413749
XRPUSDT,1d,3.2942,3.1270554750914066,3.506068850188175,HOLD,2.911803284503215,57.863096260473256,9.523413262401734,-1.8985314973237521,4,1.6,50,True,50,720,2025-08-13T12:41:20.724410
DOGEUSDT,1d,0.24776,0.19781081114360075,0.2392227018880733,HOLD,1.412820334932936,69.77475289815533,10.129655623408336,-2.1096609650050335,2,1.2,50,True,50,720,2025-08-13T12:41:22.966723
LINKUSDT,1d,24.21,18.371002507249404,20.812913695595388,HOLD,0.6037978325376483,113.63473021665436,8.515766432939039,-1.5761580287700472,2,1.0,100,True,100,720,2025-08-13T12:41:25.217920
BNBUSDT,1d,854.58,811.5750578126484,862.8349843202205,HOLD,0.9837199089539188,43.6367233867369,9.903508151709449,-2.060782807045136,3,1.1,100,True,100,720,2025-08-13T12:41:27.785650
PEPEUSDT,1d,1.242e-05,1.1227853151035229e-05,1.4112997299343909e-05,HOLD,6.838257956893218,140.7777791620024,6.0242709415195606,-5.160614829671195,3,1.0,100,True,100,720,2025-08-13T12:41:30.081333
ENAUSDT,1d,0.8024,0.5712594817586039,0.8456466408971901,HOLD,7.29105545651883,190.96870750715033,5.457219139857346,-38.15852836367139,2,2.4000000000000004,100,True,100,499,2025-08-13T12:41:32.353053
SUIUSDT,1d,4.042,3.2865994397303813,3.775599267796379,SELL,15.08460434135702,59.56648879603132,7.664632246667069,-4.295778131806538,3,1.1,70,True,70,720,2025-08-13T12:41:34.649246
ADAUSDT,1d,0.8774,0.6759047328369813,0.8140647225437069,SELL,17.484039843126624,71.34939200714932,9.848849663404817,-1.307441855520064,3,1.4,70,True,70,720,2025-08-13T12:41:37.064028
UNIUSDT,1d,12.116,10.248281185500977,11.812389343709116,HOLD,4.191417137468834,142.59236576739278,8.226481860018088,-0.9162303664921323,3,1.3,0,True,100,720,2025-08-13T12:41:39.278447
